index,STARTSTATIONNAME,ENDSTATIONNAME,NUMBEROFTRIPS,DELTATIME,STARTSTATIONID,ENDSTATIONID
254,Place d'Youville / McGill,Métro St-Michel (Shaughnessy / St-Michel),1,0 days 01:02:36.186000,37,349
255,St-Hubert / de Maisonneuve (sud),Square Viger (Berri / Viger),20,0 days 01:02:29.978150,822,839
256,Pierre-de-Coubertin / Aird,Laurier / St-Denis,2,0 days 01:02:04.531000,647,558
257,Peel / Notre-Dame,Parc Molson (d'Iberville / Beaubien),2,0 days 01:02:04.514000,77,769
258,de Maisonneuve / Mackay,Ball / Bloomfield,1,0 days 01:01:57.618000,89,514
259,Fabrik8 (Waverly / Jean-Talon),Aylwin / Ontario,1,0 days 01:01:54.388000,801,325
260,Sherbrooke / Jeanne-d'Arc,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),8,0 days 01:01:50.061875,457,823
261,Métro St-Laurent ( de Maisonneuve / St-Laurent),Jeanne-Mance / Sherbrooke,12,0 days 01:01:36.552583333,834,122
262,Ste-Émilie / Sir-Georges-Etienne-Cartier,Place Valois (Valois / Ontario),1,0 days 01:01:35.449000,302,676
263,Marché Jean-Talon (Casgrain / Shamrock),de Chambly / de Rouen,1,0 days 01:01:21.065000,794,850
264,Métro Georges-Vanier (St-Antoine / Canning),de la Commune / Place Jacques-Cartier,1,0 days 01:01:19.605000,308,25
265,Clark / Ontario,Hamel / Sauriol,3,0 days 01:01:19.451000,3,480
266,Émile-Duployé / Sherbrooke,BAnQ (Berri),19,0 days 01:01:01.513210526,148,836
267,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),Jean-Talon / de l'Épée,1,0 days 01:00:52.807000,797,500
268,Métro Henri-Bourassa (Henri-Bourassa / Millen),Aylwin / Ontario,3,0 days 01:00:50.540333333,490,325
269,Lajeunesse / Villeray,Jeanne-Mance / Sherbrooke,10,0 days 01:00:49.049100,489,122
270,Ste-Catherine / St-Clément,Fabrik8 (Waverly / Jean-Talon),2,0 days 01:00:47.094000,69,801
271,Marché Atwater,Métro Viau ( Pierre-de-Coubertin / Viau),1,0 days 01:00:33.523000,306,329
272,St-Denis / de Maisonneuve,Tolhurst / Fleury,1,0 days 01:00:32.659000,15,515
273,Ste-Catherine / Drummond,St-Urbain / Laurier,2,0 days 01:00:32.315500,60,437
274,Ste-Catherine / Union,La Tour de Montréal (Pierre-de-Coubertin / Bennett),2,0 days 01:00:25.210000,426,798
275,de la Commune / Berri,Métro St-Laurent ( de Maisonneuve / St-Laurent),4,0 days 01:00:24.645500,22,834
276,Métro Parc  (Hutchison / Ogilvy),du Mont-Royal / de Brébeuf,1,0 days 01:00:08.100000,408,157
277,Calixa-Lavallée / Rachel,Complexe Desjardins (St-Urbain / René-Lévesque),33,0 days 01:00:06.198787878,143,888
278,Ste-Catherine / Union,Métro Henri-Bourassa (Henri-Bourassa / Millen),4,0 days 00:59:50.148000,426,490
279,6e Avenue / Bélanger,de Maisonneuve / Aylmer (est),1,0 days 00:59:48.369000,268,106
280,de Bleury / de Maisonneuve,Métro St-Michel (Shaughnessy / St-Michel),1,0 days 00:59:45.691000,462,349
281,Tolhurst / Fleury,St-Denis / de Maisonneuve,1,0 days 00:59:45.292000,515,15
282,Workman / Vinet,Marché Atwater,5,0 days 00:59:43.748800,307,306
283,de la Commune / King,Duke / Nazareth,3,0 days 00:59:38.936666666,51,76
284,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),Place Valois (Valois / Ontario),5,0 days 00:59:27.338800,797,676
285,des Pins / St-Laurent,Chabanel / Tolhurst,1,0 days 00:59:18.904000,209,622
286,Tolhurst / Fleury,Messier / St-Joseph,1,0 days 00:59:07.415000,515,752
287,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),Aylwin / Ontario,4,0 days 00:59:01.484000,797,325
288,de la Côte St-Paul / St-Ambroise,Émile-Duployé / Sherbrooke,1,0 days 00:59:01.298000,567,148
289,BAnQ (Berri),Parc Nicolas-Tillemont (des Érables / Villeray),1,0 days 00:59:01.136000,836,835
290,Jeanne-Mance / Sherbrooke,de Bleury / de Maisonneuve,21,0 days 00:58:55.189904761,122,462
291,Richmond / des Bassins,de la Commune / King,36,0 days 00:58:49.362555555,581,51
292,Robert-Bourassa / René-Lévesque,Métro Henri-Bourassa (Henri-Bourassa / Millen),13,0 days 00:58:48.790384615,873,490
293,Viger / Chenneville,Ste-Catherine / Drummond,1,0 days 00:58:47.751000,34,60
294,Clark / Ontario,Stanley / René-Lévesque,2,0 days 00:58:29.769500,3,57
295,Métro Atwater (Atwater / Ste-Catherine),CHSLD Robert Cliche (de Bellechasse / 16e avenue),1,0 days 00:58:18.157000,83,838
296,Milton / St-Laurent,Métro Frontenac (Ontario / du Havre),4,0 days 00:58:15.789000,207,109
297,Cartier / Marie-Anne,Métro Atwater (Atwater / Ste-Catherine),1,0 days 00:58:04.601000,544,83
298,Marché Maisonneuve,Ste-Catherine / Towers,1,0 days 00:58:04.462000,330,86
299,Clark / de l'Arcade,Fabrik8 (Waverly / Jean-Talon),6,0 days 00:57:40.638333333,228,801
300,Ste-Émilie / Sir-Georges-Etienne-Cartier,Aylwin / Ontario,1,0 days 00:57:08.805000,302,325
301,Duke / Nazareth,Parc Molson (d'Iberville / Beaubien),2,0 days 00:57:05.846000,76,769
302,de Maisonneuve / Mackay,St-Jacques / Richmond,4,0 days 00:56:24.945000,89,673
303,William / Robert-Bourassa,Métro Lucien-L'Allier (Lucien l'Allier / Argyle),1,0 days 00:56:23.606000,575,79
304,St-Denis / de Maisonneuve,Marché Atwater,11,0 days 00:56:10.678272727,15,306
305,Métro Sauvé (Berri / Sauvé),Place Valois (Valois / Ontario),4,0 days 00:56:10.459750,208,676
306,des Érables / Rachel,Masson / Molson,22,0 days 00:56:09.437181818,142,780
307,Robert-Bourassa / René-Lévesque,Lajeunesse / Villeray,1,0 days 00:56:07.623000,873,489
308,Métro Crémazie (Crémazie / Lajeunesse),William / Robert-Bourassa,1,0 days 00:56:06.460000,424,575
309,St-Hubert / du Mont-Royal,de la Commune / St-Sulpice,5,0 days 00:55:56.991200,187,35
310,Parc St-Henri (Laporte / Guay),Métro Mont-Royal (Utilités publiques / Rivard),1,0 days 00:55:38.093000,427,347
311,St-Grégoire / Christophe-Colomb,Marché Atwater,1,0 days 00:55:26.627000,166,306
312,Métro Parc  (Hutchison / Ogilvy),Métro Atwater (Atwater / Ste-Catherine),1,0 days 00:55:19.426000,408,83
313,Dorion / Ontario,Ste-Émilie / Sir-Georges-Etienne-Cartier,3,0 days 00:55:11.661666666,108,302
314,Jean-Talon / de l'Épée,Chabanel / Tolhurst,3,0 days 00:55:06.330000,500,622
315,Clark / de l'Arcade,Métro Sherbrooke (de Rigaud / Berri),21,0 days 00:54:59.966809523,228,19
316,Marché Jean-Talon (Casgrain / Shamrock),Aylwin / Ontario,1,0 days 00:54:54.153000,794,325
317,Bennett / Ste-Catherine,Marché Maisonneuve,28,0 days 00:54:44.176178571,530,330
318,Parc Villeray (Christophe-Colomb / Jarry),Masson / Molson,1,0 days 00:54:28.532000,342,780
319,Villeray / de Normanville,Duke / Nazareth,2,0 days 00:54:27.920500,485,76
320,Marché Jean-Talon (Casgrain / Shamrock),Ste-Catherine / St-Clément,1,0 days 00:54:27.133000,794,69
321,de l'Hôtel-de-Ville / Rachel,CHSLD Robert Cliche (de Bellechasse / 16e avenue),7,0 days 00:54:25.932428571,309,838
322,de Maisonneuve / Mackay,Marché Maisonneuve,1,0 days 00:54:19.250000,89,330
323,Rachel / de Brébeuf,St-Hubert / de Maisonneuve (sud),10,0 days 00:54:09.994600,144,822
324,Lajeunesse / Villeray,Richmond / des Bassins,1,0 days 00:54:07.125000,489,581
325,de Maisonneuve / Aylmer (ouest),6e avenue / Villeray,1,0 days 00:54:06.560000,68,492
326,St-Denis / de Maisonneuve,Métro Parc  (Hutchison / Ogilvy),1,0 days 00:54:04.877000,15,408
327,Papineau / Émile-Journault,des Érables / Rachel,1,0 days 00:54:03.958000,675,142
328,Parc Nicolas-Tillemont (des Érables / Villeray),Chabanel / du Parc,1,0 days 00:54:00.524000,835,623
329,de Maisonneuve / Mansfield (sud),15e avenue / Laurier,1,0 days 00:53:59.569000,26,378
330,Parc Nicolas-Tillemont (des Érables / Villeray),Métro Atwater (Atwater / Ste-Catherine),1,0 days 00:53:58.292000,835,83
331,St-Hubert / de Maisonneuve (sud),Marché Jean-Talon (Casgrain / Shamrock),11,0 days 00:53:52.919818181,822,794
332,Marmier / St-Denis,Masson / Molson,25,0 days 00:53:52.888440,168,780
333,de Maisonneuve / Mansfield (sud-est),Clark / de l'Arcade,2,0 days 00:53:48.967000,421,228
334,St-Rémi / Ste-Émilie,Place du Canada (Peel / des Canadiens-de-Montréal),1,0 days 00:53:44.651000,379,55
335,de la Commune / King,15e avenue / Laurier,2,0 days 00:53:43.444000,51,378
336,de la Commune / Berri,Ball / Bloomfield,1,0 days 00:53:40.984000,22,514
337,Métro Peel (de Maisonneuve / Stanley),15e avenue / Laurier,1,0 days 00:53:39.091000,62,378
338,St-Viateur / Casgrain,Métro St-Laurent ( de Maisonneuve / St-Laurent),18,0 days 00:53:35.164666666,532,834
339,St-Rémi / Ste-Émilie,Jean-Talon / de l'Épée,1,0 days 00:53:34.809000,379,500
340,Sherbrooke / Jeanne-d'Arc,Métro Crémazie (Crémazie / Lajeunesse),1,0 days 00:53:27.794000,457,424
341,des Carrières / Marquette,de Maisonneuve / Mansfield (sud),2,0 days 00:53:27.749500,130,26
342,Marché Atwater,St-Urbain / Laurier,4,0 days 00:53:24.733750,306,437
343,Métro Joliette  (Hochelaga / Joliette),McTavish / Sherbrooke,1,0 days 00:53:08.017000,322,608
344,Papineau / Émile-Journault,Molson / Wiliam-Tremblay,2,0 days 00:53:02.728500,675,886
345,Lajeunesse / Villeray,Chabanel / du Parc,16,0 days 00:52:57.555500,489,623
346,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),Gare d'autocars de Montréal (Berri / Ontario),1,0 days 00:52:50.633000,453,740
347,Marché Maisonneuve,Ste-Catherine / Drummond,1,0 days 00:52:49.717000,330,60
348,de Chambly / de Rouen,Stanley / René-Lévesque,1,0 days 00:52:49.064000,850,57
349,Place Valois (Valois / Ontario),Roy / St-André,1,0 days 00:52:45.101000,676,43
350,de la Commune / Berri,Ste-Catherine / Union,5,0 days 00:52:38.835400,22,426
351,de Maisonneuve / Mansfield (sud-est),Jean-Talon / de l'Épée,1,0 days 00:52:35.448000,421,500
352,Chabanel / du Parc,BAnQ (Berri),9,0 days 00:52:29.972111111,623,836
353,de Bellechasse / de Lanaudière,Sherbrooke / Jeanne-d'Arc,1,0 days 00:52:26.449000,824,457
354,Milton / St-Laurent,Métro Henri-Bourassa (Henri-Bourassa / Millen),1,0 days 00:52:21.289000,207,490
355,St-Jacques / McGill,Robert-Bourassa / René-Lévesque,2,0 days 00:52:19.111000,40,873
356,Peel / Notre-Dame,15e avenue / Laurier,5,0 days 00:52:15.886000,77,378
357,Métro Henri-Bourassa (Henri-Bourassa / Millen),St-Denis / de Maisonneuve,1,0 days 00:52:09.829000,490,15
358,Bennett / Ste-Catherine,St-Urbain / Laurier,1,0 days 00:52:06.497000,530,437
359,Stanley / René-Lévesque,de Chambly / de Rouen,1,0 days 00:52:02.746000,57,850
360,Calixa-Lavallée / Rachel,Métro St-Michel (Shaughnessy / St-Michel),1,0 days 00:52:00.554000,143,349
361,Parc Villeray (Christophe-Colomb / Jarry),Aylwin / Ontario,1,0 days 00:51:56.563000,342,325
362,Hamel / Sauriol,Parc Henri-Julien (Legendre / Henri-Julien),1,0 days 00:51:56.155000,480,287
363,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),Métro Peel (de Maisonneuve / Stanley),1,0 days 00:51:54.656000,453,62
364,6e avenue / Villeray,6e avenue / Villeray,7,0 days 00:51:50.534142857,492,492
365,St-Jacques / McGill,Métro Crémazie (Crémazie / Lajeunesse),2,0 days 00:51:44.961500,40,424
366,Marché Maisonneuve,Laurier / St-Denis,1,0 days 00:51:37.671000,330,558
367,Parc Molson (d'Iberville / Beaubien),Marché Atwater,1,0 days 00:51:33.500000,769,306
368,St-Hubert / de Maisonneuve (sud),Métro Lucien-L'Allier (Lucien l'Allier / Argyle),2,0 days 00:51:32.023000,822,79
369,de Maisonneuve / Aylmer (ouest),Tolhurst / Fleury,2,0 days 00:51:30.198500,68,515
370,de Gaspé / Marmier,Stanley / René-Lévesque,1,0 days 00:51:24.932000,692,57
371,Métro Atwater (Atwater / Ste-Catherine),Cité des Arts du Cirque (Paul Boutet / des Regrattiers),1,0 days 00:51:19.991000,83,453
372,Ste-Catherine / Bishop,Ste-Catherine / St-Clément,2,0 days 00:51:19.815500,87,69
373,Métro Acadie (de l'Acadie / Beaumont),Notre-Dame / St-Gabriel,1,0 days 00:51:19.241000,501,24
374,Ste-Catherine / Bishop,de Maisonneuve / Mansfield (nord),1,0 days 00:51:18.628000,87,559
375,Aylwin / Ontario,Richmond / des Bassins,1,0 days 00:51:16.819000,325,581
376,Complexe Desjardins (St-Urbain / René-Lévesque),15e avenue / Laurier,1,0 days 00:51:13.680000,888,378
377,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),René-Lévesque / Papineau,14,0 days 00:51:11.791285714,797,95
378,Duke / Nazareth,de Bellechasse / de Lanaudière,2,0 days 00:51:07.582500,76,824
379,15e avenue / Laurier,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),1,0 days 00:51:06.704000,378,797
380,Lanaudière / Jean-Talon,Richmond / des Bassins,1,0 days 00:50:59.536000,271,581
381,Ball / Bloomfield,Aylwin / Ontario,1,0 days 00:50:58.076000,514,325
382,Bennett / Ste-Catherine,Laurier / St-Denis,1,0 days 00:50:57.147000,530,558
383,René-Lévesque / Papineau,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),5,0 days 00:50:54.268200,95,797
384,CHSLD Robert Cliche (de Bellechasse / 16e avenue),Métro Place-d'Armes (Viger / St-Urbain),1,0 days 00:50:50.121000,838,31
385,Place du Canada (Peel / des Canadiens-de-Montréal),La Tour de Montréal (Pierre-de-Coubertin / Bennett),1,0 days 00:50:49.331000,55,798
386,Pierre-de-Coubertin / Aird,de Maisonneuve / Mansfield (nord),2,0 days 00:50:47.114000,647,559
387,Smith / Peel,Parc Villeray (Christophe-Colomb / Jarry),1,0 days 00:50:43.971000,641,342
388,Jeanne-Mance / René-Lévesque,McTavish / Sherbrooke,4,0 days 00:50:28.896500,582,608
389,St-Grégoire / Christophe-Colomb,Messier / St-Joseph,30,0 days 00:50:28.206933333,166,752
390,Chabanel / Tolhurst,Parc Jeanne-Mance (du Mont-Royal / du Parc),1,0 days 00:50:27.433000,622,220
391,Masson / Molson,Workman / Vinet,1,0 days 00:50:27.371000,780,307
392,Métro Sauvé (Berri / Sauvé),McTavish / Sherbrooke,1,0 days 00:50:25.795000,208,608
393,Lanaudière / Jean-Talon,St-Denis / de Maisonneuve,1,0 days 00:50:25.739000,271,15
394,Métro Laurier (Berri / St-Joseph),de Maisonneuve / Mackay,1,0 days 00:50:25.095000,537,89
395,Marché Atwater,Roy / St-André,3,0 days 00:50:21.874000,306,43
396,Ste-Catherine / Towers,Villeray / de Normanville,14,0 days 00:50:21.742571428,86,485
397,Roy / St-André,Place d'Youville / McGill,25,0 days 00:50:17.680800,43,37
398,Métro Lionel-Groulx (St-Jacques / Atwater),Métro Frontenac (Ontario / du Havre),1,0 days 00:50:15.312000,607,109
399,Marmier / St-Denis,Ottawa / William,1,0 days 00:50:12.549000,168,563
400,Métro St-Michel (Shaughnessy / St-Michel),Métro Mont-Royal (Utilités publiques / Rivard),1,0 days 00:50:12.006000,349,347
401,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),St-Antoine / Jean-Paul Riopelle,1,0 days 00:50:10.723000,453,39
402,Métro Laurier (Berri / St-Joseph),Richmond / des Bassins,1,0 days 00:50:09.283000,537,581
403,Viger / Chenneville,Villeray / de Normanville,2,0 days 00:50:09.138500,34,485
404,Clark / de l'Arcade,Métro Lionel-Groulx (St-Jacques / Atwater),1,0 days 00:50:08.896000,228,607
405,Ste-Catherine / Bishop,Place d'Youville / McGill,9,0 days 00:50:06.655444444,87,37
406,de la Montagne / Notre-Dame,Molson / Wiliam-Tremblay,1,0 days 00:50:05.694000,291,886
407,Richmond / des Bassins,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),1,0 days 00:50:05.281000,581,388
408,St-Hubert / de Maisonneuve (nord),William / Robert-Bourassa,1,0 days 00:50:04.690000,594,575
409,de Maisonneuve / Mackay,Parc Nicolas-Tillemont (des Érables / Villeray),1,0 days 00:49:59.893000,89,835
410,Dorion / Ontario,Marché Atwater,4,0 days 00:49:59.737000,108,306
411,Métro Viau ( Pierre-de-Coubertin / Viau),Marché Atwater,1,0 days 00:49:57.618000,329,306
412,Émile-Duployé / Sherbrooke,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),1,0 days 00:49:55.651000,148,797
413,Marmier / St-Denis,Marché Atwater,2,0 days 00:49:53.417500,168,306
414,de Maisonneuve / Mansfield (sud-est),Ball / Bloomfield,1,0 days 00:49:52.647000,421,514
415,Chabanel / du Parc,Berri / Rachel,1,0 days 00:49:48.951000,623,545
416,St-Denis / de Maisonneuve,Jacques-Casault / Christophe-Colomb,2,0 days 00:49:48.519500,15,491
417,de la Porte de Québec / St-André,Marché Jean-Talon (Casgrain / Shamrock),1,0 days 00:49:47.980000,11,794
418,de la Commune / Place Jacques-Cartier,Métro Acadie (de l'Acadie / Beaumont),1,0 days 00:49:44.184000,25,501
419,Jean-Talon / de l'Épée,Métro Sherbrooke (de Rigaud / Berri),1,0 days 00:49:37.313000,500,19
420,Lanaudière / Jean-Talon,de Maisonneuve / Mackay,1,0 days 00:49:35.448000,271,89
421,Métro Georges-Vanier (St-Antoine / Canning),Molson / Wiliam-Tremblay,2,0 days 00:49:28.283500,308,886
422,Clark / Ontario,Ste-Émilie / Sir-Georges-Etienne-Cartier,2,0 days 00:49:26.835000,3,302
423,Clark / Ontario,Jacques-Casault / Christophe-Colomb,4,0 days 00:49:24.372250,3,491
424,Métro St-Michel (Shaughnessy / St-Michel),Marché Jean-Talon (Casgrain / Shamrock),3,0 days 00:49:22.819666666,349,794
425,Métro Sherbrooke (de Rigaud / Berri),Masson / Molson,65,0 days 00:49:17.463615384,19,780
426,La Tour de Montréal (Pierre-de-Coubertin / Bennett),St-Hubert / de Maisonneuve (nord),1,0 days 00:49:17.399000,798,594
427,Aylwin / Ontario,Gary-Carter / St-Laurent,2,0 days 00:49:13.634000,325,396
428,Métro Atwater (Atwater / Ste-Catherine),Parc Nicolas-Tillemont (des Érables / Villeray),1,0 days 00:49:11.166000,83,835
429,Métro Mont-Royal (Utilités publiques / Rivard),Métro Henri-Bourassa (Henri-Bourassa / Millen),2,0 days 00:49:10.178000,347,490
430,Garnier / Beaubien,Peel / Notre-Dame,1,0 days 00:49:09.416000,47,77
431,Smith / Peel,Métro Sauvé (Berri / Sauvé),1,0 days 00:49:07.953000,641,208
432,Marmier / St-Denis,6e avenue / Villeray,2,0 days 00:49:02.770500,168,492
433,Marché Maisonneuve,Clark / Ontario,2,0 days 00:48:56.329000,330,3
434,Complexe Desjardins (St-Urbain / René-Lévesque),de la Côte St-Paul / St-Ambroise,3,0 days 00:48:56.234000,888,567
435,de la Montagne / Notre-Dame,St-Rémi / Ste-Émilie,3,0 days 00:48:56.102666666,291,379
436,du Havre / Hochelaga,Hamel / Sauriol,1,0 days 00:48:49.490000,80,480
437,Milton / St-Laurent,des Carrières / Marquette,6,0 days 00:48:46.100500,207,130
438,Métro Henri-Bourassa (Henri-Bourassa / Millen),de Bellechasse / de Lanaudière,2,0 days 00:48:43.576500,490,824
439,Masson / Molson,Ste-Émilie / Sir-Georges-Etienne-Cartier,1,0 days 00:48:43.063000,780,302
440,Métro Crémazie (Crémazie / Lajeunesse),de Maisonneuve / Aylmer (ouest),1,0 days 00:48:38.574000,424,68
441,Métro Acadie (de l'Acadie / Beaumont),de la Côte St-Paul / St-Ambroise,2,0 days 00:48:35.283500,501,567
442,Place d'Youville / McGill,Masson / Molson,2,0 days 00:48:34.247000,37,780
443,Marché Atwater,Messier / St-Joseph,1,0 days 00:48:32.326000,306,752
444,du Mont-Royal / de Brébeuf,de Bleury / de Maisonneuve,13,0 days 00:48:25.415076923,157,462
445,des Pins / St-Laurent,Molson / Wiliam-Tremblay,34,0 days 00:48:22.968441176,209,886
446,Cathcart / McGill College,Garnier / Beaubien,1,0 days 00:48:22.219000,59,47
447,Métro Henri-Bourassa (Henri-Bourassa / Millen),15e avenue / Laurier,1,0 days 00:48:16.393000,490,378
448,St-Hubert / de Maisonneuve (sud),Chabanel / du Parc,1,0 days 00:48:13.032000,822,623
449,St-Jacques / des Seigneurs,St-Jacques / des Seigneurs,1,0 days 00:48:10.167000,667,667
450,Ste-Catherine / Bishop,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),1,0 days 00:48:07.855000,87,797
451,du Mont-Royal / de Brébeuf,Métro Viau ( Pierre-de-Coubertin / Viau),1,0 days 00:47:59.642000,157,329
452,Milton / St-Laurent,Jean-Talon / de l'Épée,3,0 days 00:47:58.660333333,207,500
453,St-Jacques / Vinet,Métro Viau ( Pierre-de-Coubertin / Viau),1,0 days 00:47:57.948000,304,329
454,Rachel / de Brébeuf,Ball / Bloomfield,1,0 days 00:47:56.285000,144,514
455,des Bassins / du Séminaire,des Carrières / Marquette,1,0 days 00:47:55.321000,290,130
456,de la Côte St-Paul / St-Ambroise,des Pins / St-Laurent,1,0 days 00:47:49.571000,567,209
457,Métro Viau ( Pierre-de-Coubertin / Viau),CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),1,0 days 00:47:49.142000,329,823
458,de la Commune / Place Jacques-Cartier,St-Antoine / Jean-Paul Riopelle,1,0 days 00:47:46.683000,25,39
459,Jacques-Casault / Christophe-Colomb,Clark / Ontario,3,0 days 00:47:43.586000,491,3
460,Métro Mont-Royal (Utilités publiques / Rivard),Hamel / Sauriol,2,0 days 00:47:42.933000,347,480
461,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),St-Denis / de Maisonneuve,4,0 days 00:47:41.113750,797,15
462,Lajeunesse / Villeray,La Tour de Montréal (Pierre-de-Coubertin / Bennett),1,0 days 00:47:38.576000,489,798
463,Métro Crémazie (Crémazie / Lajeunesse),Ste-Catherine / Union,1,0 days 00:47:34.284000,424,426
464,Métro Parc  (Hutchison / Ogilvy),de Maisonneuve / Fullum,1,0 days 00:47:33.571000,408,97
465,Jacques-Casault / Christophe-Colomb,Jeanne-Mance / Sherbrooke,2,0 days 00:47:32.391500,491,122
